number,school,team,exhibition,city,state,track,rank,total,Air Trajectory,Anatomy and Physiology,Astronomy,CAD Engineering (Trial),Chemistry Lab,Codebusters,Disease Detectives,Dynamic Planet,Ecology,Experimental Design,Fermi Questions,Flight,Forensics,Forestry,Fossils,Geologic Mapping,Microbe Mission,Optics,Robot Tour,Scrambler,Towers,Wind Power,Write It Do It
23,New Utrecht High School,A,,,NY,,23,560,29,40,28,13,26,22,32,13,36,21,30,27,26,15,29,36,31,16,26,29,22,20,6
24,Susan E. Wagner High School,,,,NY,,24,597,52,18,17,1,27,27,35,23,23,29,33,24,37,25,24,39,35,21,25,19,32,24,8
25,Francis Lewis High School,B,,,NY,,25,613,27,35,31,52,34,35,13,16,28,15,31,20,27,38,35,40,24,25,15,52,25,29,18
26,Al-Noor School,A,,,NY,,26,622,24,31,37,52,30,23,39,38,45,39,43,4,30,35,31,35,18,15,24,5,15,26,35
27,Al-Noor School,B,,,NY,,27,646,25,45,25,52,32,16,38,36,41,37,53,8,25,40,34,34,41,4,6,11,27,28,40
28,New Utrecht High School,C,,,NY,,28,669,28,42,20,7,35,42,52,39,38,38,29,21,28,31,32,37,36,33,16,23,28,18,3
30,Midwood High School,,,,NY,,29,688,4,34,52,52,11,28,17,14,5,33,21,52,19,52,23,33,40,32,52,52,31,52,31
29,Benjamin Cardozo High School,B,,,NY,,30,688,52,28,22,18,17,39,18,20,20,40,34,52,13,34,12,13,29,36,52,52,52,36,17
31,Grace Church School,,,,NY,,31,732,52,32,33,4,23,31,23,52,35,36,7,52,29,30,14,22,26,18,52,52,40,52,21
32,Kingsborough Early College,,,Brooklyn,NY,,32,740,15,33,36,52,39,36,33,33,22,25,41,32,32,52,26,21,52,22,29,52,36,35,38
34,Queens High School for the Sciences at York College,A,,Jamaica,NY,,33,741,52,15,19,52,13,32,20,17,31,32,9,52,52,32,28,43,8,52,52,52,52,52,26
33,NYC iSchool,,,,NY,,34,741,22,41,38,9,36,41,52,35,21,41,14,22,31,26,39,41,34,35,21,52,29,27,43
35,Queens High School for the Sciences at York College,B,,Jamaica,NY,,35,743,52,24,34,52,40,44,53,32,9,19,52,19,24,52,33,23,13,52,52,52,20,16,28
36,Saint Francis Prepatory High School,B,,,NY,,36,777,52,39,27,52,31,18,15,31,37,31,20,52,52,37,37,27,23,52,18,52,30,52,44
37,Notre Dame School of Manhattan,,,New York,NY,,37,803,52,36,24,52,33,24,30,27,39,28,37,52,35,33,30,26,32,27,52,52,52,52,30
38,Queens High School for the Sciences at York College,C,,Jamaica,NY,,38,805,52,12,26,52,20,38,21,25,24,23,37,52,52,52,52,32,19,26,52,52,52,52,34
39,John Adams High School,,,,NY,,39,852,52,23,32,52,41,34,28,37,42,35,38,52,33,52,52,42,30,37,52,17,34,52,37
40,Xaverian High School,,,,NY,,40,860,52,37,52,6,52,37,36,52,26,18,39,33,52,29,52,20,52,24,52,52,36,30,27
41,Tottenville High School,,,,NY,,41,863,52,20,52,52,15,52,52,52,19,52,42,52,52,39,27,12,7,38,52,52,52,52,20
42,Port Richmond High School,A,,,NY,,42,941,52,26,52,52,52,29,27,52,32,52,52,52,52,36,40,30,33,52,52,22,52,52,42
43,Robert F. Wagner Jr. Secondary School for Arts & Technology,,,,NY,,43,943,52,46,52,52,52,43,37,52,52,30,23,52,36,20,41,52,42,52,52,52,52,52,1
44,United Nations International,,,,NY,,44,1002,52,52,52,52,52,33,52,52,16,52,52,52,52,22,52,52,52,52,52,25,52,52,22
45,Saint Ann's School,B,,,NY,,45,1021,52,52,52,52,38,52,34,52,44,52,4,52,52,23,52,52,52,52,52,52,52,52,46
46,Grover Cleveland High School,B,,,NY,,46,1034,52,44,52,52,52,52,52,52,52,52,52,10,52,52,52,52,52,52,52,52,12,32,52
47,Fort Hamilton High School,,,Brooklyn,NY,,47,1054,52,43,52,52,52,52,52,26,43,52,35,52,52,52,36,52,39,52,52,52,52,52,52
48,Grover Cleveland High School,A,,,NY,,48,1056,52,52,52,52,52,52,52,52,52,52,22,53,52,52,52,52,52,52,52,52,11,34,52
49,Port Richmond High School,B,,,NY,,49,1065,52,30,52,52,52,52,52,52,52,52,52,52,52,52,42,38,52,52,52,52,39,52,32
50,Grover Cleveland High School,C,,,NY,,50,1089,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,18,31,52
